@relation BOOKKEEPER6-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {4.2.3}
@attribute LOC_Touched numeric
@attribute NumberRevisions numeric
@attribute NumberBugFix numeric
@attribute LOC_Added numeric
@attribute MAX_LOC_Added numeric
@attribute Chg_Set_Size numeric
@attribute Max_Chg_Set numeric
@attribute AVG_Chg_Set numeric
@attribute Avg_LOC_Added numeric
@attribute bugginess {true,false}

@data
4.2.3,29,1,0,9,9,10,10,10,9,false
4.2.3,21,3,0,1,1,108,73,36,0.333333,false
4.2.3,18,4,0,5,3,121,73,30.25,1.25,false
4.2.3,38,3,0,7,6,108,73,36,2.333333,false
4.2.3,791,2,0,1,1,24,14,12,0.5,false
4.2.3,700,4,0,598,547,48,14,12,149.5,false
4.2.3,894,2,0,687,404,24,14,12,343.5,false
4.2.3,80,3,0,24,19,97,73,32.333332,8,false
4.2.3,4,3,0,0,0,37,14,12.333333,0,false
4.2.3,39,3,1,21,20,86,73,28.666666,7,true
4.2.3,9,1,0,8,8,25,25,25,8,false
4.2.3,24,2,0,10,10,98,73,49,5,false
4.2.3,7,2,0,3,3,98,73,49,1.5,false
4.2.3,20,2,0,4,4,98,73,49,2,false
4.2.3,16,2,0,5,5,98,73,49,2.5,false
4.2.3,6,2,1,2,1,29,25,14.5,1,true
4.2.3,4,1,0,2,2,25,25,25,2,false
4.2.3,6,3,0,1,1,111,73,37,0.333333,false
4.2.3,8,3,0,1,1,111,73,37,0.333333,false
4.2.3,7,2,0,0,0,38,25,19,0,false
4.2.3,23,1,0,0,0,25,25,25,0,false
4.2.3,36,4,0,28,26,62,25,15.5,7,false
4.2.3,25,1,0,25,25,25,25,25,25,false
4.2.3,39,1,0,39,39,25,25,25,39,false
4.2.3,417,6,1,376,151,79,25,13.166667,62.666668,true
4.2.3,13,2,0,3,3,98,73,49,1.5,false
4.2.3,18,2,0,7,7,98,73,49,3.5,false
4.2.3,115,4,0,78,77,120,73,30,19.5,false
4.2.3,121,3,0,31,17,48,25,16,10.333333,false
4.2.3,56,2,0,45,45,36,25,18,22.5,false
4.2.3,235,8,1,118,68,168,73,21,14.75,true
4.2.3,32,1,0,32,32,1,1,1,32,false
4.2.3,1,1,0,0,0,73,73,73,0,false
4.2.3,2,2,0,1,1,82,73,41,0.5,false
4.2.3,1,1,0,0,0,73,73,73,0,false
4.2.3,1,1,0,0,0,73,73,73,0,false
4.2.3,9,2,0,5,5,84,73,42,2.5,false
4.2.3,2,1,0,0,0,73,73,73,0,false
4.2.3,1,1,0,0,0,73,73,73,0,false
4.2.3,1,1,0,0,0,73,73,73,0,false
4.2.3,1,1,0,0,0,73,73,73,0,false
4.2.3,1,1,0,0,0,73,73,73,0,false
4.2.3,1,1,0,0,0,73,73,73,0,false
