"'Version Number'","LOC_Touched","NumberRevisions","NumberBugFix","LOC_Added","MAX_LOC_Added","Chg_Set_Size","Max_Chg_Set","AVG_Chg_Set","Avg_LOC_Added","Bugginess"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","51","1","0","102","51","282","282","282","102","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","113","1","0","226","113","8","8","8","226","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","57","1","0","114","57","282","282","282","114","No"
"4.0.0","249","1","0","498","249","282","282","282","498","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","92","1","0","184","92","282","282","282","184","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","487","1","0","974","487","282","282","282","974","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","61","1","0","122","61","44","44","44","122","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","52","1","0","104","52","282","282","282","104","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","487","1","0","974","487","119","119","119","974","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","61","1","0","122","61","119","119","119","122","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","50","1","0","100","50","282","282","282","100","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","0","0","0","0","0","0","0","0","0","No"
"4.0.0","178","1","0","356","178","282","282","282","356","No"
