Dataset,#TrainingRelease,%Training,%DefectiveTraining,%DefectiveTesting,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,51.243782,1.3754046,4.7619047,NaiveBayes,No Sampling,No Selection,No Cost Sensitive,10.0,16.0,2225.0,102.0,0.38461538461538464,0.08928571428571429,0.982541276215975,0.12931104769669807
BOOKKEEPER,1,51.243782,1.3754046,4.7619047,IBk,No Sampling,No Selection,No Cost Sensitive,110.0,0.0,2241.0,2.0,0.0,0.9821428571428571,0.9913901638299228,0.9905449986538774
BOOKKEEPER,1,51.243782,1.3754046,4.7619047,RandomForest,No Sampling,No Selection,No Cost Sensitive,24.0,0.0,2241.0,88.0,0.0,0.21428571428571427,0.9909439344680309,0.34188512293727286
BOOKKEEPER,1,51.243782,1.3754046,4.7619047,NaiveBayes,No Sampling,No Selection,Sensitive Threshold,15.0,19.0,2222.0,97.0,0.4411764705882353,0.13392857142857142,0.5627251067763116,0.1874661379725054
BOOKKEEPER,1,51.243782,1.3754046,4.7619047,IBk,No Sampling,No Selection,Sensitive Threshold,110.0,0.0,2241.0,2.0,0.0,0.9821428571428571,0.9910714285714286,0.9905449986538774
BOOKKEEPER,1,51.243782,1.3754046,4.7619047,RandomForest,No Sampling,No Selection,Sensitive Threshold,110.0,2.0,2239.0,2.0,0.9821428571428571,0.9821428571428571,0.9906251992095365,0.9812503984190735
BOOKKEEPER,1,51.243782,1.3754046,4.7619047,NaiveBayes,No Sampling,No Selection,Sensitive Learning,15.0,19.0,2222.0,97.0,0.4411764705882353,0.13392857142857142,0.9825611971696309,0.1874661379725054
BOOKKEEPER,1,51.243782,1.3754046,4.7619047,IBk,No Sampling,No Selection,Sensitive Learning,110.0,0.0,2241.0,2.0,0.0,0.9821428571428571,0.9913901638299228,0.9905449986538774
BOOKKEEPER,1,51.243782,1.3754046,4.7619047,RandomForest,No Sampling,No Selection,Sensitive Learning,24.0,0.0,2241.0,88.0,0.0,0.21428571428571427,0.9912467329636004,0.34188512293727286
BOOKKEEPER,2,68.93842,3.0259068,0.64397424,NaiveBayes,No Sampling,No Selection,No Cost Sensitive,0.0,0.0,2161.0,14.0,0.0,0.0,0.5,0.0
