@relation SYNCOPE-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {1.0.0-incubating,1.0.1-incubating,1.0.2-incubating,1.0.4,1.0.5,1.0.6,1.0.7,1.0.8,1.0.9,1.1.8,1.2.0,1.2.0-M1,1.2.1,1.2.10,1.2.11,1.2.2,1.2.3,1.2.4,1.2.5}
@attribute LOC_Touched numeric
@attribute NumberRevisions numeric
@attribute NumberBugFix numeric
@attribute LOC_Added numeric
@attribute MAX_LOC_Added numeric
@attribute Chg_Set_Size numeric
@attribute Max_Chg_Set numeric
@attribute AVG_Chg_Set numeric
@attribute Avg_LOC_Added numeric
@attribute bugginess {true,false}

@data
1.0.0-incubating,35,1,0,35,35,6,6,6,35,false
1.0.0-incubating,28,2,0,26,26,37,24,18.5,13,false
1.0.0-incubating,73,3,0,71,52,51,24,17,23.666666,false
1.0.0-incubating,92,2,0,90,90,37,24,18.5,45,false
1.0.0-incubating,78,3,0,76,61,51,24,17,25.333334,false
1.0.0-incubating,53,3,0,50,49,51,24,17,16.666666,false
1.0.0-incubating,72,5,0,65,57,70,24,14,13,false
1.0.0-incubating,81,4,0,69,55,65,24,16.25,17.25,false
1.0.0-incubating,94,4,0,87,70,65,24,16.25,21.75,false
1.0.0-incubating,65,4,0,59,51,65,24,16.25,14.75,false
1.0.0-incubating,61,4,0,53,48,65,24,16.25,13.25,false
1.0.0-incubating,104,5,0,94,78,58,24,11.6,18.8,false
1.0.0-incubating,160,3,0,157,157,43,24,14.333333,52.333332,false
1.0.0-incubating,63,2,0,61,61,38,24,19,30.5,false
1.0.0-incubating,201,5,0,143,107,79,31,15.8,28.6,false
1.0.0-incubating,76,3,0,61,58,61,24,20.333334,20.333334,false
1.0.0-incubating,31,2,0,29,29,43,24,21.5,14.5,false
1.0.0-incubating,119,5,0,90,58,97,31,19.4,18,false
1.0.0-incubating,157,1,0,157,157,14,14,14,157,false
1.0.0-incubating,84,4,0,77,72,87,31,21.75,19.25,false
1.0.0-incubating,138,4,0,129,78,71,31,17.75,32.25,false
1.0.0-incubating,33,2,0,28,24,38,19,19,14,false
1.0.0-incubating,53,2,0,53,51,37,19,18.5,26.5,false
1.0.0-incubating,30,1,0,30,30,19,19,19,30,false
1.0.0-incubating,29,1,0,29,29,19,19,19,29,false
1.0.0-incubating,18,1,0,18,18,19,19,19,18,false
1.0.0-incubating,284,5,0,239,126,96,31,19.2,47.8,false
1.0.0-incubating,97,1,0,97,97,19,19,19,97,false
1.0.0-incubating,51,1,0,51,51,19,19,19,51,false
1.0.0-incubating,29,1,0,29,29,19,19,19,29,false
1.0.0-incubating,306,2,0,302,302,23,19,11.5,151,false
1.0.0-incubating,80,1,0,80,80,19,19,19,80,false
1.0.0-incubating,79,1,0,79,79,19,19,19,79,false
1.0.0-incubating,80,1,0,80,80,19,19,19,80,false
1.0.0-incubating,83,1,0,83,83,19,19,19,83,false
1.0.0-incubating,80,1,0,80,80,19,19,19,80,false
1.0.0-incubating,68,2,0,64,64,23,19,11.5,32,false
1.0.0-incubating,71,1,0,71,71,31,31,31,71,false
1.0.0-incubating,125,1,0,125,125,31,31,31,125,false
