@relation SYNCOPE10-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {1.1.8}
@attribute LOC_Touched numeric
@attribute NumberRevisions numeric
@attribute NumberBugFix numeric
@attribute LOC_Added numeric
@attribute MAX_LOC_Added numeric
@attribute Chg_Set_Size numeric
@attribute Max_Chg_Set numeric
@attribute AVG_Chg_Set numeric
@attribute Avg_LOC_Added numeric
@attribute bugginess {true,false}

@data
1.1.8,42,3,0,37,18,29,16,9.666667,12.333333,false
1.1.8,4,2,0,0,0,70,47,35,0,false
1.1.8,146,4,2,2,2,116,58,29,0.5,true
1.1.8,150,4,2,2,2,116,58,29,0.5,true
1.1.8,4,2,0,0,0,70,47,35,0,false
1.1.8,132,4,2,2,2,116,58,29,0.5,true
1.1.8,13,2,0,9,9,79,47,39.5,4.5,false
1.1.8,142,4,2,2,2,116,58,29,0.5,true
1.1.8,167,4,1,131,115,220,143,55,32.75,true
1.1.8,6,3,0,0,0,72,47,24,0,false
1.1.8,26,5,1,1,1,160,58,32,0.2,true
1.1.8,10,3,1,3,3,72,47,24,1,true
1.1.8,2,1,0,0,0,47,47,47,0,false
1.1.8,3,1,0,0,0,47,47,47,0,false
1.1.8,2,1,0,0,0,47,47,47,0,false
1.1.8,2,1,0,0,0,47,47,47,0,false
1.1.8,1,1,0,0,0,47,47,47,0,false
1.1.8,3,2,0,0,0,64,47,32,0,false
1.1.8,71,4,0,2,2,160,58,40,0.5,false
1.1.8,312,5,1,210,165,176,47,35.2,42,true
1.1.8,44,3,0,5,5,207,143,69,1.666667,false
1.1.8,20,2,0,8,8,64,47,32,4,false
1.1.8,4,3,0,1,1,93,47,31,0.333333,false
1.1.8,26,3,0,22,22,97,47,32.333332,7.333334,false
1.1.8,4,2,0,0,0,64,47,32,0,false
1.1.8,5,2,0,2,2,50,47,25,1,false
1.1.8,16,4,1,2,2,66,47,16.5,0.5,true
1.1.8,3,1,0,0,0,47,47,47,0,false
1.1.8,8,2,0,1,1,105,58,52.5,0.5,false
1.1.8,65,3,0,26,25,96,47,32,8.666667,false
1.1.8,130,6,0,69,47,102,47,17,11.5,false
1.1.8,2,2,1,1,1,48,47,24,0.5,true
1.1.8,18,4,1,10,8,68,47,17,2.5,true
1.1.8,1,1,0,0,0,47,47,47,0,false
1.1.8,4,2,1,1,1,66,47,33,0.5,true
1.1.8,138,9,3,5,4,99,47,11,0.555556,true
1.1.8,6,2,0,0,0,64,47,32,0,false
1.1.8,234,6,1,10,8,273,143,45.5,1.666667,true
1.1.8,1,1,0,0,0,47,47,47,0,false
1.1.8,3,2,1,0,0,60,47,30,0,true
1.1.8,20,2,0,3,3,84,47,42,1.5,false
1.1.8,12,3,1,5,4,83,47,27.666666,1.666667,true
1.1.8,9,3,0,6,3,181,143,60.333332,2,false
1.1.8,19,3,1,7,4,83,58,27.666666,2.333333,true
1.1.8,6,2,0,2,2,40,37,20,1,false
1.1.8,7,2,0,2,2,26,23,13,1,false
1.1.8,4,2,0,2,1,6,3,3,1,false
1.1.8,2,2,0,0,0,6,3,3,0,false
1.1.8,60,2,0,52,29,28,16,14,26,false
1.1.8,192,4,0,170,64,187,143,46.75,42.5,false
1.1.8,18,2,0,15,15,28,16,14,7.5,false
1.1.8,8,1,0,0,0,12,12,12,0,false
1.1.8,44,3,0,39,24,44,16,14.666667,13,false
1.1.8,83,4,0,19,10,187,143,46.75,4.75,false
1.1.8,320,9,1,239,94,241,143,26.777779,26.555555,true
1.1.8,24,3,0,19,10,44,16,14.666667,6.333334,false
1.1.8,7,1,0,7,7,12,12,12,7,false
1.1.8,74,5,1,67,29,187,143,37.4,13.4,true
1.1.8,65,6,0,29,21,238,143,39.666668,4.833334,false
