Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Bugginess
1.2.2,installer/src/main/java/org/apache/syncope/installer/utilities/FileSystemUtils.java,2,1,0,1,1,614,614,614.0,1.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/WorkflowITCase.java,8,1,0,0,0,614,614,614.0,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/VirSchemaITCase.java,3,1,0,0,0,614,614,614.0,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/VirAttrITCase.java,56,2,0,0,0,928,614,464.0,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/UserWorkflowITCase.java,18,2,0,0,0,928,614,464.0,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/UserSelfITCase.java,24,3,0,7,7,961,614,320.33334,2.3333333,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/UserITCase.java,163,4,0,9,9,1002,614,250.5,2.25,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/SyncTaskITCase.java,108,6,1,40,13,1009,614,168.16667,6.6666665,true
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/SearchITCase.java,104,3,0,14,12,969,614,323.0,4.6666665,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/ResourceITCase.java,15,2,0,4,4,627,614,313.5,2.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/PushTaskITCase.java,31,3,0,0,0,969,614,323.0,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/PolicyITCase.java,65,3,0,0,0,939,614,313.0,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/PlainSchemaITCase.java,15,2,0,0,0,928,614,464.0,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/NotificationTaskITCase.java,4,2,0,0,0,928,614,464.0,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/NotificationITCase.java,6,3,0,0,0,986,614,328.66666,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/LoggerITCase.java,2,1,0,0,0,614,614,614.0,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/GroupITCase.java,1135,4,0,891,887,1027,614,256.75,222.75,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/DerSchemaITCase.java,8,1,0,0,0,614,614,614.0,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/ConfigurationITCase.java,16,2,0,1,1,928,614,464.0,0.5,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/CamelRouteITCase.java,35,2,0,3,3,928,614,464.0,1.5,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/CamelDetector.java,2,1,0,0,0,614,614,614.0,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/AuthenticationITCase.java,239,4,0,5,4,1002,614,250.5,1.25,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/ActivitiDetector.java,2,1,0,0,0,614,614,614.0,0.0,false
1.2.2,fit/core-reference/src/test/java/org/apache/syncope/fit/core/reference/AbstractITCase.java,30,4,0,9,4,1014,614,253.5,2.25,false
1.2.2,fit/core-reference/src/main/java/org/apache/syncope/fit/core/reference/package-info.java,19,1,0,19,19,614,614,614.0,19.0,false
1.2.2,fit/core-reference/src/main/java/org/apache/syncope/fit/core/reference/TestSyncRule.java,4,1,0,3,3,614,614,614.0,3.0,false
1.2.2,fit/core-reference/src/main/java/org/apache/syncope/fit/core/reference/TestSyncActions.java,23,3,0,18,14,941,614,313.66666,6.0,false
1.2.2,fit/console-reference/src/test/java/org/apache/syncope/fit/console/reference/SchemaITCase.java,1,1,0,0,0,614,614,614.0,0.0,false
1.2.2,fit/console-reference/src/test/java/org/apache/syncope/fit/console/reference/GroupITCase.java,211,1,0,211,211,614,614,614.0,211.0,false
1.2.2,fit/console-reference/src/test/java/org/apache/syncope/fit/console/reference/ConnectorITCase.java,1,1,0,0,0,614,614,614.0,0.0,false
1.2.2,fit/console-reference/src/test/java/org/apache/syncope/fit/console/reference/ConfigurationITCase.java,13,1,0,0,0,614,614,614.0,0.0,false
1.2.2,fit/console-reference/src/test/java/org/apache/syncope/fit/console/reference/AccessITCase.java,5,1,0,0,0,614,614,614.0,0.0,false
1.2.2,fit/build-tools/src/main/java/org/apache/syncope/fit/buildtools/ApacheDSRootDseServlet.java,3,1,0,0,0,614,614,614.0,0.0,false
1.2.2,ext/camel/provisioning-camel/src/main/java/org/apache/syncope/core/provisioning/camel/processor/UserUpdateProcessor.java,9,2,0,2,2,928,614,464.0,1.0,false
1.2.2,ext/camel/provisioning-camel/src/main/java/org/apache/syncope/core/provisioning/camel/processor/GroupUpdateProcessor.java,77,2,0,72,71,928,614,464.0,36.0,false
1.2.2,ext/camel/provisioning-camel/src/main/java/org/apache/syncope/core/provisioning/camel/processor/GroupDeprovisionProcessor.java,84,2,0,80,78,928,614,464.0,40.0,false
1.2.2,ext/camel/provisioning-camel/src/main/java/org/apache/syncope/core/provisioning/camel/processor/GroupDeleteProcessor.java,120,2,0,105,105,928,614,464.0,52.5,false
1.2.2,ext/camel/provisioning-camel/src/main/java/org/apache/syncope/core/provisioning/camel/processor/GroupCreateProcessor.java,84,2,0,77,76,928,614,464.0,38.5,false
1.2.2,ext/camel/provisioning-camel/src/main/java/org/apache/syncope/core/provisioning/camel/processor/GroupCreateInSyncProcessor.java,83,2,0,73,72,928,614,464.0,36.5,false
1.2.2,ext/camel/provisioning-camel/src/main/java/org/apache/syncope/core/provisioning/camel/CamelGroupProvisioningManager.java,184,2,0,176,175,928,614,464.0,88.0,false
1.2.2,ext/camel/logic/src/main/java/org/apache/syncope/core/logic/init/CamelRouteLoader.java,31,2,0,0,0,928,614,464.0,0.0,false
1.2.2,ext/camel/client-console/src/main/java/org/apache/syncope/client/console/rest/CamelRouteRestClient.java,4,2,0,0,0,1899,1285,949.5,0.0,false
1.2.2,ext/camel/client-console/src/main/java/org/apache/syncope/client/console/panels/CamelRoutePanel.java,15,2,0,1,1,1899,1285,949.5,0.5,false
1.2.2,core/workflow-java/src/main/java/org/apache/syncope/core/workflow/java/DefaultGroupWorkflowAdapter.java,129,1,0,129,129,614,614,614.0,129.0,false
1.2.2,core/workflow-java/src/main/java/org/apache/syncope/core/workflow/java/AbstractGroupWorkflowAdapter.java,66,1,0,66,66,614,614,614.0,66.0,false
1.2.2,core/workflow-api/src/main/java/org/apache/syncope/core/workflow/api/WorkflowAdapter.java,17,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/workflow-api/src/main/java/org/apache/syncope/core/workflow/api/UserWorkflowAdapter.java,35,2,0,1,1,928,614,464.0,0.5,false
1.2.2,core/workflow-api/src/main/java/org/apache/syncope/core/workflow/api/GroupWorkflowAdapter.java,61,1,0,61,61,614,614,614.0,61.0,false
1.2.2,core/workflow-activiti/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeUserQueryImpl.java,23,2,0,0,0,928,614,464.0,0.0,false
1.2.2,core/workflow-activiti/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeUserManager.java,10,2,0,0,0,928,614,464.0,0.0,false
1.2.2,core/workflow-activiti/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeGroupQueryImpl.java,27,2,0,3,3,928,614,464.0,1.5,false
1.2.2,core/workflow-activiti/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeGroupManager.java,5,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/workflow-activiti/src/main/java/org/apache/syncope/core/workflow/activiti/ActivitiUserWorkflowAdapter.java,31,2,0,2,2,928,614,464.0,1.0,false
1.2.2,core/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/service/WorkflowServiceImpl.java,3,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/service/ResourceServiceImpl.java,25,2,0,17,17,928,614,464.0,8.5,false
1.2.2,core/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/service/GroupServiceImpl.java,310,3,0,233,227,969,614,323.0,77.666664,false
1.2.2,core/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/RestServiceExceptionMapper.java,139,6,1,74,36,1025,614,170.83333,12.333333,true
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/SyncUtilities.java,25,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/SyncJobImpl.java,39,3,0,0,0,963,614,321.0,0.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/PushJobImpl.java,60,2,0,1,1,928,614,464.0,0.5,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/LDAPMembershipSyncActions.java,58,3,0,3,2,951,614,317.0,1.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/GroupSyncResultHandlerImpl.java,185,3,0,168,168,941,614,313.66666,56.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/GroupPushResultHandlerImpl.java,170,2,0,162,162,928,614,464.0,81.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/AbstractSyncopeResultHandler.java,24,4,0,8,6,964,614,241.0,2.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/AbstractSyncResultHandler.java,112,5,0,23,12,966,614,193.2,4.6,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/AbstractPushResultHandler.java,41,4,0,4,3,943,614,235.75,1.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/AbstractProvisioningJob.java,105,5,0,19,14,997,614,199.4,3.8,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/propagation/PropagationManagerImpl.java,387,3,0,4,3,951,614,317.0,1.3333334,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/propagation/LDAPMembershipPropagationActions.java,27,3,0,0,0,951,614,317.0,0.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/propagation/AbstractPropagationTaskExecutor.java,24,2,0,0,0,928,614,464.0,0.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/notification/NotificationManagerImpl.java,62,4,0,9,8,1009,614,252.25,2.25,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/UserDataBinderImpl.java,116,2,0,48,48,928,614,464.0,24.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/TaskDataBinderImpl.java,42,2,0,7,7,928,614,464.0,3.5,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/ResourceDataBinderImpl.java,88,4,0,18,18,994,614,248.5,4.5,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/PolicyDataBinderImpl.java,41,2,0,1,1,928,614,464.0,0.5,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/NotificationDataBinderImpl.java,2,1,0,0,0,614,614,614.0,0.0,false
