@relation SYNCOPE9-weka.filters.unsupervised.attribute.Remove-R2

@attribute 'Version Number' {1.0.9}
@attribute LOC_Touched numeric
@attribute NumberRevisions numeric
@attribute NumberBugFix numeric
@attribute LOC_Added numeric
@attribute MAX_LOC_Added numeric
@attribute Chg_Set_Size numeric
@attribute Max_Chg_Set numeric
@attribute AVG_Chg_Set numeric
@attribute Avg_LOC_Added numeric
@attribute Bugginess {true,false}

@data
1.0.9,285,11,2,237,76,765,242,69.545456,21.545454,true
1.0.9,27,9,1,13,4,566,242,62.88889,1.444444,true
1.0.9,4,1,1,0,0,1,1,1,0,true
1.0.9,25,7,2,5,4,546,242,78,0.714286,true
1.0.9,289,22,8,137,35,1138,242,51.727272,6.227272,true
1.0.9,62,2,2,62,31,10,5,5,31,true
1.0.9,44,13,4,8,6,744,242,57.23077,0.615385,true
1.0.9,117,3,1,46,46,21,15,7,15.333333,true
1.0.9,43,13,2,6,3,602,117,46.307693,0.461538,true
1.0.9,219,12,2,54,46,528,195,44,4.5,true
1.0.9,7,2,0,0,0,2,1,1,0,false
1.0.9,141,9,0,55,37,778,242,86.44444,6.111111,false
1.0.9,176,9,0,45,21,552,124,61.333332,5,false
1.0.9,48,9,1,3,1,692,242,76.888885,0.333333,true
1.0.9,117,5,1,34,32,241,117,48.2,6.8,true
1.0.9,16,3,0,1,1,72,42,24,0.333333,false
1.0.9,10,2,0,0,0,30,15,15,0,false
1.0.9,20,2,0,14,7,30,15,15,7,false
1.0.9,57,9,0,27,12,669,242,74.333336,3,false
1.0.9,82,7,0,29,12,206,40,29.428572,4.142857,false
1.0.9,469,14,3,6,1,635,125,45.357143,0.428571,true
1.0.9,144,2,0,144,72,30,15,15,72,false
1.0.9,127,8,0,81,72,584,242,73,10.125,false
1.0.9,18,2,0,2,1,30,15,15,1,false
1.0.9,8,1,1,1,1,1,1,1,1,true
1.0.9,8,1,1,1,1,1,1,1,1,true
1.0.9,1169,25,10,530,104,681,125,27.24,21.2,true
1.0.9,1721,30,12,352,75,1564,242,52.133335,11.733334,true
1.0.9,2049,34,13,618,126,1351,242,39.735294,18.17647,true
1.0.9,278,11,3,84,40,652,242,59.272728,7.636363,true
